Year,Spokane-Total,Spokane-Unsheltered,WA-Total,WA-Unsheltered,USA-Total,USA-Unsheltered
2005,1824,384,23970,9520,763010,344845
2006,1535,505,22180,6619,759101,331130
2007,1083,194,23379,6522,647258,255857
2008,1370,290,21954,6498,639784,253423
2009,1229,157,22782,6545,630227,226919
2010,1242,172,22878,6389,637077,233534
2011,1272,138,20439,5364,623788,231472
2012,1185,130,20504,5477,621553,231398
2013,1030,60,17760,5053,591768,197070
2014,1149,155,18442,5902,576450,175399
2015,1034,132,19419,7121,564708,173268
2016,981,172,20827,8466,549928,176357
2017,1090,138,21112,8591,553742,192875
2018,1245,310,22304,10621,552830,194467
2019,1309,315,21577,9557,567715,211293
